time,arrived,rejected,waitline
0,30,0,30
1,24,0,26
2,29,0,29
3,29,0,30
4,32,0,34
5,21,0,27
6,23,0,23
7,29,0,29
8,22,0,23
9,26,0,26
10,25,0,25
11,26,0,26
12,23,0,23
13,25,0,25
14,34,0,34
15,32,0,38
16,27,0,37
17,28,0,37
18,20,0,29
19,26,0,27
20,15,0,15
21,21,0,21
22,20,0,20
23,29,0,29
24,20,0,21
25,24,0,24
26,19,0,19
27,19,0,19
28,42,0,42
29,21,0,35
30,25,0,32
31,30,0,34
32,26,0,32
33,22,0,26
34,27,0,27
35,25,0,25
36,25,0,25
37,35,0,35
38,22,0,29
39,29,0,30
40,25,0,27
41,29,0,29
42,24,0,25
43,31,0,31
44,22,0,25
45,23,0,23
46,29,0,29
47,32,0,33
48,18,0,23
49,33,0,33
50,25,0,30
51,18,0,20
52,21,0,21
53,27,0,27
54,31,0,31
55,23,0,26
56,18,0,18
57,15,0,15
58,24,0,24
59,18,0,18
60,21,0,21
61,35,0,35
62,32,0,39
63,30,0,41
64,22,0,35
65,25,0,32
66,23,0,27
67,28,0,28
68,25,0,25
69,27,0,27
70,25,0,25
71,17,0,17
72,24,0,24
73,33,0,33
74,33,0,38
75,28,0,38
76,22,0,32
77,28,0,32
78,27,0,31
79,23,0,26
80,27,0,27
81,20,0,20
82,24,0,24
83,31,0,31
84,30,0,33
85,23,0,28
86,21,0,21
87,31,0,31
88,23,0,26
89,27,0,27
90,34,0,34
91,26,0,32
92,27,0,31
93,30,0,33
94,24,0,29
95,32,0,33
96,24,0,29
97,29,0,30
98,27,0,29
99,32,0,33
100,25,0,30
101,21,0,23
102,34,0,34
103,32,0,38
104,20,0,30
105,31,0,33
106,27,0,32
107,24,0,28
108,26,0,26
109,22,0,22
110,29,0,29
111,22,0,23
112,24,0,24
113,21,0,21
114,21,0,21
115,22,0,22
116,26,0,26
117,24,0,24
118,20,0,20
119,32,0,32
120,37,0,41
121,37,0,50
122,45,0,67
123,50,0,89
124,60,0,121
125,55,0,148
126,48,0,168
127,43,0,183
128,49,0,204
129,43,0,219
130,41,0,232
131,40,0,244
132,46,0,262
133,40,0,274
134,38,0,284
135,49,0,305
136,37,0,314
137,50,0,336
138,38,0,346
139,49,0,367
140,36,0,375
141,56,0,403
142,34,0,409
143,45,0,426
144,39,0,437
145,40,0,456
146,51,0,472
147,49,0,493
148,48,0,513
149,58,0,543
150,47,0,562
151,50,0,584
152,36,0,592
153,38,0,602
154,45,0,619
155,36,0,627
156,35,0,634
157,39,0,645
158,44,0,661
159,51,0,684
160,46,0,702
161,50,0,724
162,34,0,730
163,38,0,740
164,77,0,789
165,39,0,800
166,53,25,800
167,37,9,800
168,65,37,800
169,35,7,800
170,53,25,800
171,35,7,800
172,28,0,800
173,55,27,800
174,46,18,800
175,39,11,800
176,38,10,800
177,43,15,800
178,54,26,800
179,51,23,800
180,42,14,800
181,46,18,800
182,46,18,800
183,44,16,800
184,48,20,800
185,37,9,800
186,45,17,800
187,50,22,800
188,41,13,800
189,62,34,800
190,46,18,800
191,53,25,800
192,49,21,800
193,47,19,800
194,33,5,800
195,49,21,800
196,51,23,800
197,55,27,800
198,53,25,800
199,51,23,800
200,59,31,800
201,49,21,800
202,54,26,800
203,60,32,800
204,48,20,800
205,45,17,800
206,38,10,800
207,51,23,800
208,53,25,800
209,36,8,800
210,47,19,800
211,40,12,800
212,47,19,800
213,40,12,800
214,48,20,800
215,42,14,800
216,42,14,800
217,40,12,800
218,35,7,800
219,47,19,800
220,40,12,800
221,47,19,800
222,45,17,800
223,58,30,800
224,41,13,800
225,46,18,800
226,49,21,800
227,37,9,800
228,44,16,800
229,46,18,800
230,56,28,800
231,44,16,800
232,42,14,800
233,52,24,800
234,44,16,800
235,28,0,800
236,42,14,800
237,47,19,800
238,51,23,800
239,40,12,800
240,38,10,800
241,35,7,800
242,35,7,800
243,32,4,800
244,38,10,800
245,30,2,800
246,37,9,800
247,25,0,797
248,34,3,800
249,38,10,800
250,38,10,800
251,37,9,800
252,33,5,800
253,30,2,800
254,36,8,800
255,37,9,800
256,39,11,800
257,32,4,800
258,39,11,800
259,30,2,800
260,44,16,800
261,38,10,800
262,37,9,800
263,31,3,800
264,35,7,800
265,27,0,799
266,31,2,800
267,42,14,800
268,38,10,800
269,27,0,799
270,28,0,799
271,33,4,800
272,36,8,800
273,36,8,800
274,37,9,800
275,32,4,800
276,39,11,800
277,32,4,800
278,32,4,800
279,30,2,800
280,48,20,800
281,20,0,792
282,41,5,800
283,32,4,800
284,30,2,800
285,34,6,800
286,46,18,800
287,43,15,800
288,39,11,800
289,38,10,800
290,28,0,800
291,38,10,800
292,33,5,800
293,39,11,800
294,45,17,800
295,43,15,800
296,41,13,800
297,30,2,800
298,40,12,800
299,36,8,800
300,32,4,800
301,43,15,800
302,43,15,800
303,42,14,800
304,35,7,800
305,36,8,800
306,29,1,800
307,31,3,800
308,42,14,800
309,35,7,800
310,34,6,800
311,41,13,800
312,35,7,800
313,32,4,800
314,30,2,800
315,38,10,800
316,38,10,800
317,29,1,800
318,36,8,800
319,35,7,800
320,41,13,800
321,38,10,800
322,30,2,800
323,30,2,800
324,35,7,800
325,28,0,800
326,29,1,800
327,33,5,800
328,32,4,800
329,44,16,800
330,43,15,800
331,37,9,800
332,41,13,800
333,40,12,800
334,35,7,800
335,32,4,800
336,33,5,800
337,37,9,800
338,36,8,800
339,31,3,800
340,29,1,800
341,27,0,799
342,28,0,799
343,37,8,800
344,33,5,800
345,32,4,800
346,32,4,800
347,27,0,799
348,34,5,800
349,44,16,800
350,36,8,800
351,31,3,800
352,37,9,800
353,39,11,800
354,35,7,800
355,29,1,800
356,42,14,800
357,37,9,800
358,35,7,800
359,30,2,800
360,36,8,800
361,34,6,800
362,41,13,800
363,33,5,800
364,31,3,800
365,32,4,800
366,39,11,800
367,37,9,800
368,48,20,800
369,32,4,800
370,43,15,800
371,29,1,800
372,34,6,800
373,21,0,793
374,40,5,800
375,39,11,800
376,32,4,800
377,28,0,800
378,42,14,800
379,38,10,800
380,26,0,798
381,34,4,800
382,49,21,800
383,38,10,800
384,30,2,800
385,34,6,800
386,42,14,800
387,27,0,799
388,28,0,799
389,33,4,800
390,32,4,800
391,37,9,800
392,40,12,800
393,28,0,800
394,26,0,798
395,26,0,796
396,34,2,800
397,40,12,800
398,38,10,800
399,34,6,800
400,28,0,800
401,36,8,800
402,36,8,800
403,35,7,800
404,36,8,800
405,33,5,800
406,32,4,800
407,42,14,800
408,34,6,800
409,29,1,800
410,36,8,800
411,35,7,800
412,37,9,800
413,36,8,800
414,31,3,800
415,41,13,800
416,26,0,798
417,27,0,797
418,44,13,800
419,29,1,800
420,35,7,800
421,30,2,800
422,41,13,800
423,32,4,800
424,33,5,800
425,42,14,800
426,32,4,800
427,40,12,800
428,37,9,800
429,25,0,797
430,31,0,800
431,39,11,800
432,37,9,800
433,41,13,800
434,32,4,800
435,30,2,800
436,30,2,800
437,37,9,800
438,28,0,800
439,38,10,800
440,40,12,800
441,38,10,800
442,30,2,800
443,33,5,800
444,32,4,800
445,34,6,800
446,31,3,800
447,33,5,800
448,35,7,800
449,29,1,800
450,36,8,800
451,23,0,795
452,33,0,800
453,33,5,800
454,32,4,800
455,39,11,800
456,31,3,800
457,37,9,800
458,36,8,800
459,43,15,800
460,38,10,800
461,40,12,800
462,38,10,800
463,32,4,800
464,37,9,800
465,21,0,793
466,35,0,800
467,41,13,800
468,37,9,800
469,37,9,800
470,35,7,800
471,33,5,800
472,33,5,800
473,38,10,800
474,40,12,800
475,38,10,800
476,29,1,800
477,25,0,797
478,26,0,795
479,38,5,800
480,21,0,793
481,26,0,791
482,28,0,791
483,26,0,789
484,11,0,772
485,13,0,757
486,22,0,751
487,22,0,745
488,27,0,744
489,30,0,746
490,20,0,738
491,23,0,733
492,27,0,732
493,31,0,735
494,27,0,734
495,22,0,728
496,31,0,731
497,21,0,724
498,20,0,716
499,25,0,713
500,30,0,715
501,27,0,714
502,32,0,718
503,21,0,711
504,24,0,707
505,28,0,707
506,31,0,710
507,25,0,707
508,28,0,707
509,33,0,712
510,21,0,705
511,32,0,709
512,25,0,706
513,33,0,711
514,25,0,708
515,25,0,705
516,33,0,710
517,29,0,711
518,29,0,712
519,26,0,710
520,27,0,709
521,39,0,720
522,33,0,725
523,23,0,720
524,31,0,723
525,26,0,721
526,27,0,720
527,28,0,720
528,29,0,721
529,29,0,722
530,22,0,716
531,26,0,714
532,24,0,710
533,20,0,702
534,29,0,703
535,31,0,706
536,31,0,709
537,27,0,708
538,24,0,704
539,26,0,702
540,26,0,700
541,27,0,699
542,25,0,696
543,20,0,688
544,26,0,686
545,16,0,674
546,28,0,674
547,25,0,671
548,30,0,673
549,25,0,670
550,19,0,661
551,25,0,658
552,25,0,655
553,17,0,644
554,29,0,645
555,23,0,640
556,27,0,639
557,24,0,635
558,20,0,627
559,24,0,623
560,21,0,616
561,24,0,612
562,15,0,599
563,28,0,599
564,26,0,597
565,29,0,598
566,26,0,596
567,24,0,592
568,25,0,589
569,39,0,600
570,17,0,589
